Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_unlink_leaf.sy,1,5,155,155,0.03,0.01
binary_search_tree_unlink_leaf.sy,2,26,12563,10397,0.01,0.07
graph_cycle.sy,1,7,399,399,0.03,0.03
graph_cycle.sy,2,36,30380,15252,0.02,0.20
graph_cycle.sy,3,438,36674080,4605556,0.21,39.03
graph_one_way_connected.sy,1,7,399,399,0.03,0.02
graph_one_way_connected.sy,2,31,17898,13808,0.01,0.20
graph_one_way_connected.sy,3,345,12685924,6608043,0.07,32.61
graph.sy,1,7,399,399,0.03,0.02
graph.sy,2,32,20058,17762,0.01,0.15
graph.sy,3,357,14388144,9766778,0.10,30.59
user_names_aliasing.sy,1,7,399,399,0.03,0.01
user_names_aliasing.sy,2,41,60480,60480,0.01,0.07
user_names_aliasing.sy,3,2184,2561919879,2404425025,5.92,1356.03
user_names_connected.sy,1,8,583,583,0.03,0.03
user_names_connected.sy,2,42,65056,65056,0.02,0.17
user_names_connected.sy,3,2185,2561915118,2404109028,6.62,1608.86
user_names.sy,1,8,583,583,0.03,0.03
user_names.sy,2,42,65056,65056,0.02,0.15
user_names.sy,3,2185,2550697512,2393998058,5.79,1424.39
set_subtree.sy,1,6,258,258,0.03,0.01
set_subtree.sy,2,56,160166,97679,0.02,0.40
user_names_simple.sy,1,7,399,399,0.03,0.01
user_names_simple.sy,2,41,60480,60480,0.01,0.07
user_names_simple.sy,3,2184,2550702273,2393640843,6.07,1298.64
x_y_mut_inc.sy,1,6,258,258,0.03,0.01
x_y_mut_inc.sy,2,48,86906,70447,0.01,0.06
seq.sy,1,6,258,258,0.03,0.01
seq.sy,2,46,86906,61191,0.01,0.09
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,41891,0.01,0.06
FirstAndLast.sy,3,2570,2675877792,787831322,7.02,618.37
IsAllPositive.sy,1,5,155,155,0.03,0.01
IsAllPositive.sy,2,46,87009,36500,0.01,0.07
IsAllPositive.sy,3,3100,3431476913,763848112,8.64,550.40
abcd.sy,1,8,584,584,0.03,0.01
abcd.sy,2,135,332755,332755,0.01,0.26
abc.sy,1,7,399,399,0.03,0.02
abc.sy,2,105,265905,265905,0.01,0.22
ab.sy,1,6,258,258,0.03,0.00
MoveFromAToB.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,2,61,208661,126014,0.01,0.13
count-total-words-in-a-cellmodified.sy,1,5,155,155,0.03,0.01
count-total-words-in-a-cellmodified.sy,2,31,25104,25104,0.01,0.04
NegativeIndex.sy,1,6,258,258,0.02,0.01
NegativeIndex.sy,2,49,105821,105821,0.01,0.10
