Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_unlink_leaf.sy,1,5,155,155,0.03,0.01
binary_search_tree_unlink_leaf.sy,2,26,12563,10397,0.01,0.07
graph_cycle.sy,1,7,399,399,0.03,0.03
graph_cycle.sy,2,36,30380,15252,0.02,0.21
graph_cycle.sy,3,438,36674080,4605556,0.23,41.66
graph_one_way_connected.sy,1,7,399,399,0.03,0.02
graph_one_way_connected.sy,2,31,17898,13808,0.02,0.20
graph_one_way_connected.sy,3,345,12685924,6608043,0.11,31.52
graph.sy,1,7,399,399,0.02,0.02
graph.sy,2,32,20058,17762,0.01,0.14
graph.sy,3,357,14388144,9766778,0.11,32.74
user_names_aliasing.sy,1,7,399,399,0.02,0.02
user_names_aliasing.sy,2,41,60480,60480,0.01,0.06
user_names_aliasing.sy,3,2184,2545105770,2388634636,5.96,1295.76
user_names_connected.sy,1,8,583,583,0.03,0.03
user_names_connected.sy,2,42,65056,65056,0.01,0.17
user_names_connected.sy,3,2185,2567536233,2409227393,6.09,1352.06
user_names.sy,1,8,583,583,0.03,0.02
user_names.sy,2,42,65056,65056,0.01,0.15
user_names.sy,3,2185,2556302213,2399275487,6.46,1234.44
set_subtree.sy,1,6,258,258,0.03,0.01
set_subtree.sy,2,56,160166,97679,0.02,0.60
user_names_simple.sy,1,7,399,399,0.03,0.01
user_names_simple.sy,2,41,60480,60480,0.01,0.07
user_names_simple.sy,3,2184,2550702273,2393683999,6.58,1251.20
x_y_mut_inc.sy,1,6,258,258,0.03,0.01
x_y_mut_inc.sy,2,48,86906,70447,0.01,0.06
seq.sy,1,6,258,258,0.03,0.01
seq.sy,2,46,86906,61191,0.01,0.08
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,41891,0.01,0.05
FirstAndLast.sy,3,2570,2687459278,793387294,7.21,512.55
IsAllPositive.sy,1,5,155,155,0.03,0.01
IsAllPositive.sy,2,46,87009,36500,0.01,0.08
IsAllPositive.sy,3,3100,3424656228,756258278,7.86,512.72
abcd.sy,1,8,584,584,0.03,0.01
abcd.sy,2,135,291334,291334,0.01,0.17
abc.sy,1,7,399,399,0.03,0.02
abc.sy,2,105,278516,278516,0.01,0.20
ab.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,2,61,208661,126014,0.01,0.13
count-total-words-in-a-cellmodified.sy,1,5,155,155,0.03,0.01
count-total-words-in-a-cellmodified.sy,2,31,25104,25104,0.01,0.04
NegativeIndex.sy,1,6,258,258,0.03,0.01
NegativeIndex.sy,2,49,105821,105821,0.01,0.09
